id,sweep_run_id,did,raw_hex,error_code,sequence
1,1,0001,62000100,,0
2,1,0002,62000200,,1
3,1,0003,62000300,,2
4,1,0004,62000400,,3
5,1,0005,62000502,,4
6,1,0006,62000601,,5
7,1,0007,62000700,,6
8,1,0008,6200080001,,7
9,1,0009,6200090001,,8
10,1,000A,62000A00000006,,9
11,1,000B,62000B0002,,10
12,1,000C,62000C0000,,11
13,1,000D,62000D0000,,12
14,1,000E,62000E00,,13
15,1,000F,62000F,,14
16,1,0010,620010,,15
17,1,0011,620011,,16
18,1,0012,620012,,17
19,1,0013,620013,,18
20,1,0014,620014,,19
21,1,0015,620015,,20
22,1,0016,62001603,,21
23,1,0017,620017,,22
24,1,0018,620018,,23
25,1,0019,620019,,24
26,1,001A,62001A,,25
27,1,001B,62001B,,26
28,1,001C,62001C,,27
29,1,001D,62001D00,,28
30,1,001E,62001E,,29
31,1,001F,62001F47,,30
32,1,0020,62002000,,31
33,1,0021,62002100,,32
34,1,0022,62002200,,33
35,1,0023,620023,,34
36,1,0024,62002400,,35
37,1,0025,6200250000,,36
38,1,0026,620026000070CD,,37
39,1,0027,620027,,38
40,1,0028,620028,,39
41,1,0029,620029,,40
42,1,002A,62002A,,41
43,1,002B,62002B,,42
44,1,002C,62002C,,43
45,1,002D,62002D,,44
46,1,002E,62002E,,45
47,1,002F,62002F00,,46
48,1,0030,620030,,47
49,1,0031,620031,,48
50,1,0032,620032,,49
51,1,0033,620033,,50
52,1,0034,620034,,51
53,1,0035,620035,,52
54,1,0036,6200360000,,53
55,1,0037,6200370000,,54
56,1,0038,6200380326,,55
57,1,0039,6200390647,,56
58,1,003A,62003A,,57
59,1,003B,62003B,,58
60,1,003C,62003C,,59
61,1,003D,62003D,,60
62,1,003E,62003E,,61
63,1,003F,62003F,,62
64,1,0040,6200400000,,63
65,1,0041,6200410000,,64
66,1,0042,6200420000,,65
67,1,0043,62004328,,66
68,1,0044,6200441B,,67
69,1,0045,6200451B,,68
70,1,0046,62004600000000,,69
71,1,0047,62004700000000,,70
72,1,0048,62004800000000,,71
73,1,0049,6200490000FFFFFF0000FFFFFF,,72
74,1,004A,62004A025701FF,,73
75,1,004B,62004B01880292,,74
76,1,004C,62004C00000000,,75
77,1,004D,62004D00000000,,76
78,1,004E,62004E00000000,,77
79,1,004F,62004F,,78
80,1,0050,62005000,,79
81,1,0051,62005100,,80
82,1,0052,62005203,,81
83,1,0053,62005300,,82
84,1,0054,62005400,,83
85,1,0055,62005500,,84
86,1,0056,62005600000000000000,,85
87,1,0057,62005701,,86
88,1,0058,620058,,87
89,1,0059,620059,,88
90,1,005A,62005A,,89
91,1,005B,62005B,,90
92,1,005C,62005C,,91
93,1,005D,62005D,,92
94,1,005E,62005E,,93
95,1,005F,62005F,,94
96,1,0060,620060,,95
97,1,0061,620061,,96
98,1,0062,620062,,97
99,1,0063,620063,,98
100,1,0064,620064,,99
101,1,0065,620065,,100
102,1,0066,620066,,101
103,1,0067,620067,,102
104,1,0068,620068,,103
105,1,0069,620069,,104
106,1,006A,62006A,,105
107,1,006B,62006B,,106
108,1,006C,62006C,,107
109,1,006D,62006D,,108
110,1,006E,62006E,,109
111,1,006F,62006F,,110
112,1,0070,620070,,111
113,1,0071,620071,,112
114,1,0072,620072,,113
115,1,0073,620073,,114
116,1,0074,620074,,115
117,1,0075,620075,,116
118,1,0076,620076,,117
119,1,0077,620077,,118
120,1,0078,620078,,119
121,1,0079,620079,,120
122,1,007A,62007A,,121
123,1,007B,62007B,,122
124,1,007C,62007C,,123
125,1,007D,62007D,,124
126,1,007E,62007E,,125
127,1,007F,62007F,,126
128,1,0080,620080,,127
129,1,0081,620081,,128
130,1,0082,620082,,129
131,1,0083,620083,,130
132,1,0084,620084,,131
133,1,0085,620085,,132
134,1,0086,620086,,133
135,1,0087,620087,,134
136,1,0088,620088,,135
137,1,0089,620089,,136
138,1,008A,62008A,,137
139,1,008B,62008B,,138
140,1,008C,62008C,,139
141,1,008D,62008D,,140
142,1,008E,62008E,,141
143,1,008F,62008F,,142
144,1,0090,620090,,143
145,1,0091,620091,,144
146,1,0092,620092,,145
147,1,0093,620093,,146
148,1,0094,620094,,147
149,1,0095,620095,,148
150,1,0096,620096,,149
151,1,0097,620097,,150
152,1,0098,620098,,151
153,1,0099,620099,,152
154,1,009A,62009A,,153
155,1,009B,62009B,,154
156,1,009C,62009C,,155
157,1,009D,62009D,,156
158,1,009E,62009E,,157
159,1,009F,62009F,,158
160,1,00A0,6200A0,,159
161,1,00A1,6200A1,,160
162,1,00A2,6200A2,,161
163,1,00A3,6200A3,,162
164,1,00A4,6200A4,,163
165,1,00A5,6200A5,,164
166,1,00A6,6200A6,,165
167,1,00A7,6200A7,,166
168,1,00A8,6200A8,,167
169,1,00A9,6200A9,,168
170,1,00AA,6200AA,,169
171,1,00AB,6200AB,,170
172,1,00AC,6200AC,,171
173,1,00AD,6200AD,,172
174,1,00AE,6200AE,,173
175,1,00AF,6200AF,,174
176,1,00B0,6200B0,,175
177,1,00B1,6200B1,,176
178,1,00B2,6200B2,,177
179,1,00B3,6200B3,,178
180,1,00B4,6200B4,,179
181,1,00B5,6200B5,,180
182,1,00B6,6200B6,,181
183,1,00B7,6200B7,,182
184,1,00B8,6200B8,,183
185,1,00B9,6200B9,,184
186,1,00BA,6200BA,,185
187,1,00BB,6200BB,,186
188,1,00BC,6200BC,,187
189,1,00BD,6200BD,,188
190,1,00BE,6200BE,,189
191,1,00BF,6200BF,,190
192,1,00C0,6200C0,,191
193,1,00C1,6200C1,,192
194,1,00C2,6200C2,,193
195,1,00C3,6200C3,,194
196,1,00C4,6200C4,,195
197,1,00C5,6200C5,,196
198,1,00C6,6200C6,,197
199,1,00C7,6200C7,,198
200,1,00C8,6200C8,,199
201,1,00C9,6200C9,,200
