id,session_id,timestamp,ecu_tx,did,raw_hex,error_code,cycle
1,1,2026-05-25 16:02:52+00,791,000A,62000A00000006,,1
2,1,2026-05-25 16:02:48+00,791,0038,6200380326,,1
3,1,2026-05-25 16:02:49+00,791,0039,6200390645,,1
4,1,2026-05-25 16:02:51+00,791,0046,62004600000000,,1
5,1,2026-05-25 16:02:49+00,791,004A,62004A025701FF,,1
6,1,2026-05-25 16:02:50+00,791,004B,62004B01880292,,1
7,1,2026-05-25 16:02:51+00,791,004C,62004C00000000,,1
8,1,2026-05-25 16:02:57+00,791,000A,62000A00000006,,2
9,1,2026-05-25 16:02:53+00,791,0038,6200380326,,2
10,1,2026-05-25 16:02:53+00,791,0039,6200390647,,2
11,1,2026-05-25 16:02:55+00,791,0046,62004600000000,,2
12,1,2026-05-25 16:02:53+00,791,004A,62004A025701FF,,2
13,1,2026-05-25 16:02:54+00,791,004B,62004B01880292,,2
14,1,2026-05-25 16:02:56+00,791,004C,62004C00000000,,2
15,1,2026-05-25 16:03:01+00,791,000A,62000A00000006,,3
16,1,2026-05-25 16:02:57+00,791,0038,6200380328,,3
17,1,2026-05-25 16:02:57+00,791,0039,6200390646,,3
18,1,2026-05-25 16:02:59+00,791,0046,62004600000000,,3
19,1,2026-05-25 16:02:58+00,791,004A,62004A025701FF,,3
20,1,2026-05-25 16:02:58+00,791,004B,62004B01880292,,3
21,1,2026-05-25 16:03:00+00,791,004C,62004C00000000,,3
22,1,2026-05-25 16:03:05+00,791,000A,62000A00000006,,4
23,1,2026-05-25 16:03:01+00,791,0038,6200380328,,4
24,1,2026-05-25 16:03:01+00,791,0039,6200390647,,4
25,1,2026-05-25 16:03:03+00,791,0046,62004600000000,,4
26,1,2026-05-25 16:03:02+00,791,004A,62004A025701FF,,4
27,1,2026-05-25 16:03:02+00,791,004B,62004B01880292,,4
28,1,2026-05-25 16:03:04+00,791,004C,62004C00000000,,4
29,1,2026-05-25 16:03:05+00,791,0038,6200380326,,5
30,1,2026-05-25 16:03:06+00,791,0039,6200390648,,5
31,1,2026-05-25 16:03:07+00,791,0046,62004600000000,,5
32,1,2026-05-25 16:03:06+00,791,004A,62004A025701FF,,5
33,1,2026-05-25 16:03:07+00,791,004B,62004B01880292,,5
