id,session_id,timestamp,ecu_tx,did,raw_hex,error_code,cycle
553,5,2026-05-25 20:16:08+00,791,0026,6200260000721A,,1
554,5,2026-05-25 20:16:04+00,791,0038,6200380323,,1
555,5,2026-05-25 20:16:05+00,791,0039,6200390646,,1
556,5,2026-05-25 20:16:07+00,791,0043,62004328,,1
557,5,2026-05-25 20:16:07+00,791,0049,6200490000FFFFFF0000FFFFFF,,1
558,5,2026-05-25 20:16:05+00,791,004A,62004A025901FF,,1
559,5,2026-05-25 20:16:06+00,791,004B,62004B018A0294,,1
560,5,2026-05-25 20:16:13+00,791,0026,6200260000721A,,2
561,5,2026-05-25 20:16:09+00,791,0038,6200380324,,2
562,5,2026-05-25 20:16:09+00,791,0039,6200390646,,2
563,5,2026-05-25 20:16:11+00,791,0043,62004328,,2
564,5,2026-05-25 20:16:12+00,791,0049,6200490000FFFFFF0000FFFFFF,,2
565,5,2026-05-25 20:16:09+00,791,004A,62004A025901FF,,2
566,5,2026-05-25 20:16:10+00,791,004B,62004B018A0294,,2
567,5,2026-05-25 20:16:17+00,791,0026,6200260000721A,,3
568,5,2026-05-25 20:16:13+00,791,0038,6200380324,,3
569,5,2026-05-25 20:16:13+00,791,0039,6200390647,,3
570,5,2026-05-25 20:16:15+00,791,0043,62004328,,3
571,5,2026-05-25 20:16:16+00,791,0049,6200490000FFFFFF0000FFFFFF,,3
572,5,2026-05-25 20:16:13+00,791,004A,62004A025901FF,,3
573,5,2026-05-25 20:16:14+00,791,004B,62004B018A0294,,3
574,5,2026-05-25 20:16:21+00,791,0026,6200260000721A,,4
575,5,2026-05-25 20:16:17+00,791,0038,6200380324,,4
576,5,2026-05-25 20:16:17+00,791,0039,6200390647,,4
577,5,2026-05-25 20:16:19+00,791,0043,62004328,,4
578,5,2026-05-25 20:16:20+00,791,0049,6200490000FFFFFF0000FFFFFF,,4
579,5,2026-05-25 20:16:18+00,791,004A,62004A025901FF,,4
580,5,2026-05-25 20:16:18+00,791,004B,62004B018A0294,,4
581,5,2026-05-25 20:16:25+00,791,0026,6200260000721A,,5
582,5,2026-05-25 20:16:21+00,791,0038,6200380324,,5
583,5,2026-05-25 20:16:21+00,791,0039,6200390647,,5
584,5,2026-05-25 20:16:23+00,791,0043,62004328,,5
585,5,2026-05-25 20:16:24+00,791,0049,6200490000FFFFFF0000FFFFFF,,5
586,5,2026-05-25 20:16:22+00,791,004A,62004A025901FF,,5
587,5,2026-05-25 20:16:22+00,791,004B,62004B018A0294,,5
588,5,2026-05-25 20:16:29+00,791,0026,6200260000721A,,6
589,5,2026-05-25 20:16:25+00,791,0038,6200380325,,6
590,5,2026-05-25 20:16:26+00,791,0039,6200390647,,6
591,5,2026-05-25 20:16:28+00,791,0043,62004328,,6
592,5,2026-05-25 20:16:28+00,791,0049,6200490000FFFFFF0000FFFFFF,,6
593,5,2026-05-25 20:16:26+00,791,004A,62004A025901FF,,6
594,5,2026-05-25 20:16:27+00,791,004B,62004B018A0294,,6
595,5,2026-05-25 20:16:34+00,791,0026,6200260000721A,,7
596,5,2026-05-25 20:16:30+00,791,0038,6200380325,,7
597,5,2026-05-25 20:16:30+00,791,0039,6200390646,,7
598,5,2026-05-25 20:16:32+00,791,0043,62004328,,7
599,5,2026-05-25 20:16:33+00,791,0049,6200490000FFFFFF0000FFFFFF,,7
600,5,2026-05-25 20:16:30+00,791,004A,62004A025901FF,,7
601,5,2026-05-25 20:16:31+00,791,004B,62004B018A0294,,7
602,5,2026-05-25 20:16:38+00,791,0026,6200260000721A,,8
603,5,2026-05-25 20:16:34+00,791,0038,6200380325,,8
604,5,2026-05-25 20:16:34+00,791,0039,6200390646,,8
605,5,2026-05-25 20:16:36+00,791,0043,62004328,,8
606,5,2026-05-25 20:16:37+00,791,0049,6200490000FFFFFF0000FFFFFF,,8
607,5,2026-05-25 20:16:34+00,791,004A,62004A025901FF,,8
608,5,2026-05-25 20:16:35+00,791,004B,62004B018A0294,,8
609,5,2026-05-25 20:16:42+00,791,0026,6200260000721A,,9
610,5,2026-05-25 20:16:38+00,791,0038,6200380325,,9
611,5,2026-05-25 20:16:38+00,791,0039,6200390646,,9
612,5,2026-05-25 20:16:40+00,791,0043,62004328,,9
613,5,2026-05-25 20:16:41+00,791,0049,6200490000FFFFFF0000FFFFFF,,9
614,5,2026-05-25 20:16:39+00,791,004A,62004A025901FF,,9
615,5,2026-05-25 20:16:39+00,791,004B,62004B018A0294,,9
616,5,2026-05-25 20:16:46+00,791,0026,6200260000721A,,10
617,5,2026-05-25 20:16:42+00,791,0038,62003804F9,,10
618,5,2026-05-25 20:16:43+00,791,0039,6200390836,,10
619,5,2026-05-25 20:16:44+00,791,0043,62004328,,10
620,5,2026-05-25 20:16:45+00,791,0049,6200490000FFFFFF0000FFFFFF,,10
621,5,2026-05-25 20:16:43+00,791,004A,62004A025901FF,,10
622,5,2026-05-25 20:16:44+00,791,004B,62004B018A0294,,10
623,5,2026-05-25 20:16:50+00,791,0026,6200260000721A,,11
624,5,2026-05-25 20:16:46+00,791,0038,6200380324,,11
625,5,2026-05-25 20:16:47+00,791,0039,6200390647,,11
626,5,2026-05-25 20:16:49+00,791,0043,62004328,,11
627,5,2026-05-25 20:16:50+00,791,0049,6200490000FFFFFF0000FFFFFF,,11
628,5,2026-05-25 20:16:47+00,791,004A,62004A025901FF,,11
629,5,2026-05-25 20:16:48+00,791,004B,62004B018A0294,,11
630,5,2026-05-25 20:16:55+00,791,0026,6200260000721B,,12
631,5,2026-05-25 20:16:51+00,791,0038,6200380324,,12
632,5,2026-05-25 20:16:51+00,791,0039,6200390646,,12
633,5,2026-05-25 20:16:53+00,791,0043,62004328,,12
634,5,2026-05-25 20:16:54+00,791,0049,6200490000FFFFFF0000FFFFFF,,12
635,5,2026-05-25 20:16:51+00,791,004A,62004A025901FF,,12
636,5,2026-05-25 20:16:52+00,791,004B,62004B018A0294,,12
637,5,2026-05-25 20:16:59+00,791,0026,6200260000721B,,13
638,5,2026-05-25 20:16:55+00,791,0038,6200380558,,13
639,5,2026-05-25 20:16:55+00,791,0039,6200390885,,13
640,5,2026-05-25 20:16:57+00,791,0043,62004328,,13
641,5,2026-05-25 20:16:58+00,791,0049,6200490000FFFFFF0000FFFFFF,,13
642,5,2026-05-25 20:16:56+00,791,004A,62004A025901FF,,13
643,5,2026-05-25 20:16:56+00,791,004B,62004B018A0294,,13
644,5,2026-05-25 20:17:03+00,791,0026,6200260000721B,,14
645,5,2026-05-25 20:16:59+00,791,0038,620038067A,,14
646,5,2026-05-25 20:16:59+00,791,0039,620039099A,,14
647,5,2026-05-25 20:17:01+00,791,0043,62004328,,14
648,5,2026-05-25 20:17:02+00,791,0049,6200490000FFFFFF0000FFFFFF,,14
649,5,2026-05-25 20:17:00+00,791,004A,62004A025901FF,,14
650,5,2026-05-25 20:17:00+00,791,004B,62004B018A0294,,14
651,5,2026-05-25 20:17:07+00,791,0026,6200260000721C,,15
652,5,2026-05-25 20:17:03+00,791,0038,6200380589,,15
653,5,2026-05-25 20:17:04+00,791,0039,62003908F4,,15
654,5,2026-05-25 20:17:05+00,791,0043,62004328,,15
655,5,2026-05-25 20:17:06+00,791,0049,6200490000FFFFFF0000FFFFFF,,15
656,5,2026-05-25 20:17:04+00,791,004A,62004A025901FF,,15
657,5,2026-05-25 20:17:05+00,791,004B,62004B018A0294,,15
658,5,2026-05-25 20:17:11+00,791,0026,6200260000721C,,16
659,5,2026-05-25 20:17:08+00,791,0038,62003805ED,,16
660,5,2026-05-25 20:17:08+00,791,0039,620039090C,,16
661,5,2026-05-25 20:17:10+00,791,0043,62004328,,16
662,5,2026-05-25 20:17:11+00,791,0049,6200490000FFFFFF0000FFFFFF,,16
663,5,2026-05-25 20:17:08+00,791,004A,62004A025901FF,,16
664,5,2026-05-25 20:17:09+00,791,004B,62004B018A0294,,16
665,5,2026-05-25 20:17:16+00,791,0026,6200260000721C,,17
666,5,2026-05-25 20:17:12+00,791,0038,62003804EB,,17
667,5,2026-05-25 20:17:12+00,791,0039,6200390816,,17
668,5,2026-05-25 20:17:14+00,791,0043,62004328,,17
669,5,2026-05-25 20:17:15+00,791,0049,6200490000FFFFFF0000FFFFFF,,17
670,5,2026-05-25 20:17:12+00,791,004A,62004A025901FF,,17
671,5,2026-05-25 20:17:13+00,791,004B,62004B018A0294,,17
672,5,2026-05-25 20:17:20+00,791,0026,6200260000721D,,18
673,5,2026-05-25 20:17:16+00,791,0038,620038035D,,18
674,5,2026-05-25 20:17:16+00,791,0039,62003906A5,,18
675,5,2026-05-25 20:17:18+00,791,0043,62004328,,18
676,5,2026-05-25 20:17:19+00,791,0049,6200490000FFFFFF0000FFFFFF,,18
677,5,2026-05-25 20:17:17+00,791,004A,62004A025901FF,,18
678,5,2026-05-25 20:17:17+00,791,004B,62004B018A0294,,18
679,5,2026-05-25 20:17:24+00,791,0026,6200260000721D,,19
680,5,2026-05-25 20:17:20+00,791,0038,620038063F,,19
681,5,2026-05-25 20:17:20+00,791,0039,620039095F,,19
682,5,2026-05-25 20:17:22+00,791,0043,62004328,,19
683,5,2026-05-25 20:17:23+00,791,0049,6200490000FFFFFF0000FFFFFF,,19
684,5,2026-05-25 20:17:21+00,791,004A,62004A025901FF,,19
685,5,2026-05-25 20:17:22+00,791,004B,62004B018A0294,,19
686,5,2026-05-25 20:17:28+00,791,0026,6200260000721E,,20
687,5,2026-05-25 20:17:24+00,791,0038,6200380324,,20
688,5,2026-05-25 20:17:25+00,791,0039,6200390646,,20
689,5,2026-05-25 20:17:27+00,791,0043,62004328,,20
690,5,2026-05-25 20:17:28+00,791,0049,6200490000FFFFFF0000FFFFFF,,20
691,5,2026-05-25 20:17:25+00,791,004A,62004A025901FF,,20
692,5,2026-05-25 20:17:26+00,791,004B,62004B018A0294,,20
693,5,2026-05-25 20:17:33+00,791,0026,6200260000721E,,21
694,5,2026-05-25 20:17:29+00,791,0038,6200380324,,21
695,5,2026-05-25 20:17:29+00,791,0039,6200390647,,21
696,5,2026-05-25 20:17:31+00,791,0043,62004328,,21
697,5,2026-05-25 20:17:32+00,791,0049,6200490000FFFFFF0000FFFFFF,,21
698,5,2026-05-25 20:17:29+00,791,004A,62004A025901FF,,21
699,5,2026-05-25 20:17:30+00,791,004B,62004B018A0294,,21
700,5,2026-05-25 20:17:37+00,791,0026,6200260000721E,,22
701,5,2026-05-25 20:17:33+00,791,0038,62003803E8,,22
702,5,2026-05-25 20:17:33+00,791,0039,6200390709,,22
703,5,2026-05-25 20:17:35+00,791,0043,62004328,,22
704,5,2026-05-25 20:17:36+00,791,0049,6200490000FFFFFF0000FFFFFF,,22
705,5,2026-05-25 20:17:34+00,791,004A,62004A025901FF,,22
706,5,2026-05-25 20:17:34+00,791,004B,62004B018A0294,,22
707,5,2026-05-25 20:17:41+00,791,0026,6200260000721E,,23
708,5,2026-05-25 20:17:37+00,791,0038,620038046A,,23
709,5,2026-05-25 20:17:37+00,791,0039,62003907D4,,23
710,5,2026-05-25 20:17:39+00,791,0043,62004328,,23
711,5,2026-05-25 20:17:40+00,791,0049,6200490000FFFFFF0000FFFFFF,,23
712,5,2026-05-25 20:17:38+00,791,004A,62004A025901FF,,23
713,5,2026-05-25 20:17:38+00,791,004B,62004B018A0294,,23
714,5,2026-05-25 20:17:45+00,791,0026,6200260000721F,,24
715,5,2026-05-25 20:17:41+00,791,0038,620038061E,,24
716,5,2026-05-25 20:17:42+00,791,0039,6200390942,,24
717,5,2026-05-25 20:17:44+00,791,0043,62004328,,24
718,5,2026-05-25 20:17:44+00,791,0049,6200490000FFFFFF0000FFFFFF,,24
719,5,2026-05-25 20:17:42+00,791,004A,62004A025901FF,,24
720,5,2026-05-25 20:17:43+00,791,004B,62004B018A0294,,24
721,5,2026-05-25 20:17:49+00,791,0026,6200260000721F,,25
722,5,2026-05-25 20:17:46+00,791,0038,62003804B4,,25
723,5,2026-05-25 20:17:46+00,791,0039,62003907D6,,25
724,5,2026-05-25 20:17:48+00,791,0043,62004328,,25
725,5,2026-05-25 20:17:49+00,791,0049,6200490000FFFFFF0000FFFFFF,,25
726,5,2026-05-25 20:17:46+00,791,004A,62004A025901FF,,25
727,5,2026-05-25 20:17:47+00,791,004B,62004B018A0294,,25
728,5,2026-05-25 20:17:54+00,791,0026,6200260000721F,,26
729,5,2026-05-25 20:17:50+00,791,0038,62003804C2,,26
730,5,2026-05-25 20:17:50+00,791,0039,62003907E1,,26
731,5,2026-05-25 20:17:52+00,791,0043,62004328,,26
732,5,2026-05-25 20:17:53+00,791,0049,6200490000FFFFFF0000FFFFFF,,26
733,5,2026-05-25 20:17:50+00,791,004A,62004A025901FF,,26
734,5,2026-05-25 20:17:51+00,791,004B,62004B018A0294,,26
735,5,2026-05-25 20:17:58+00,791,0026,62002600007220,,27
736,5,2026-05-25 20:17:54+00,791,0038,62003804C1,,27
737,5,2026-05-25 20:17:54+00,791,0039,62003907DE,,27
738,5,2026-05-25 20:17:56+00,791,0043,62004328,,27
739,5,2026-05-25 20:17:57+00,791,0049,6200490000FFFFFF0000FFFFFF,,27
740,5,2026-05-25 20:17:55+00,791,004A,62004A025901FF,,27
741,5,2026-05-25 20:17:55+00,791,004B,62004B018A0294,,27
742,5,2026-05-25 20:18:02+00,791,0026,62002600007220,,28
743,5,2026-05-25 20:17:58+00,791,0038,620038063C,,28
744,5,2026-05-25 20:17:58+00,791,0039,6200390954,,28
