id,sweep_run_id,did,raw_hex,error_code,sequence
767,4,0B00,,7F2231,0
768,4,0B01,,7F2231,1
769,4,0B02,,7F2231,2
770,4,0B03,,7F2231,3
771,4,0B04,,7F2231,4
772,4,0B05,,7F2231,5
773,4,0B06,,7F2231,6
774,4,0B07,,7F2231,7
775,4,0B08,,7F2231,8
776,4,0B09,,7F2231,9
777,4,0B0A,,7F2231,10
778,4,0B0B,,7F2231,11
779,4,0B0C,,7F2231,12
780,4,0B0D,,7F2231,13
781,4,0B0E,,7F2231,14
782,4,0B0F,,7F2231,15
783,4,0B10,,7F2231,16
784,4,0B11,,7F2231,17
785,4,0B12,,7F2231,18
786,4,0B13,,7F2231,19
787,4,0B14,,7F2231,20
788,4,0B15,,7F2231,21
789,4,0B16,,7F2231,22
790,4,0B17,,7F2231,23
791,4,0B18,,7F2231,24
792,4,0B19,,7F2231,25
793,4,0B1A,,7F2231,26
794,4,0B1B,,7F2231,27
795,4,0B1C,,7F2231,28
796,4,0B1D,,7F2231,29
797,4,0B1E,,7F2231,30
798,4,0B1F,,7F2231,31
799,4,0B20,,7F2231,32
800,4,0B21,,7F2231,33
801,4,0B22,,7F2231,34
802,4,0B23,,7F2231,35
803,4,0B24,,7F2231,36
804,4,0B25,,7F2231,37
805,4,0B26,,7F2231,38
806,4,0B27,,7F2231,39
807,4,0B28,,7F2231,40
808,4,0B29,,7F2231,41
809,4,0B2A,,7F2231,42
810,4,0B2B,,7F2231,43
811,4,0B2C,,7F2231,44
812,4,0B2D,,7F2231,45
813,4,0B2E,,7F2231,46
814,4,0B2F,,7F2231,47
815,4,0B30,,7F2231,48
816,4,0B31,,7F2231,49
817,4,0B32,,7F2231,50
818,4,0B33,,7F2231,51
819,4,0B34,,7F2231,52
820,4,0B35,,7F2231,53
821,4,0B36,,7F2231,54
822,4,0B37,,7F2231,55
823,4,0B38,,7F2231,56
824,4,0B39,,7F2231,57
825,4,0B3A,,7F2231,58
826,4,0B3B,,7F2231,59
827,4,0B3C,,7F2231,60
828,4,0B3D,,7F2231,61
829,4,0B3E,,7F2231,62
830,4,0B3F,,7F2231,63
831,4,0B40,,7F2231,64
832,4,0B41,,7F2231,65
833,4,0B42,,7F2231,66
834,4,0B43,,7F2231,67
835,4,0B44,,7F2231,68
836,4,0B45,,7F2231,69
837,4,0B46,,7F2231,70
838,4,0B47,,7F2231,71
839,4,0B48,,7F2231,72
840,4,0B49,,7F2231,73
841,4,0B4A,,7F2231,74
842,4,0B4B,,7F2231,75
843,4,0B4C,,7F2231,76
844,4,0B4D,,7F2231,77
845,4,0B4E,,7F2231,78
846,4,0B4F,,7F2231,79
847,4,0B50,,7F2231,80
848,4,0B51,,7F2231,81
849,4,0B52,,7F2231,82
850,4,0B53,,7F2231,83
851,4,0B54,,7F2231,84
852,4,0B55,,7F2231,85
853,4,0B56,,7F2231,86
854,4,0B57,,7F2231,87
855,4,0B58,,7F2231,88
856,4,0B59,,7F2231,89
857,4,0B5A,,7F2231,90
858,4,0B5B,,7F2231,91
859,4,0B5C,,7F2231,92
860,4,0B5D,,7F2231,93
861,4,0B5E,,7F2231,94
862,4,0B5F,,7F2231,95
863,4,0B60,,7F2231,96
864,4,0B61,,7F2231,97
865,4,0B62,,7F2231,98
866,4,0B63,,7F2231,99
867,4,0B64,,7F2231,100
868,4,0B65,,7F2231,101
869,4,0B66,,7F2231,102
870,4,0B67,,7F2231,103
871,4,0B68,,7F2231,104
872,4,0B69,,7F2231,105
873,4,0B6A,,7F2231,106
874,4,0B6B,,7F2231,107
875,4,0B6C,,7F2231,108
876,4,0B6D,,7F2231,109
877,4,0B6E,,7F2231,110
878,4,0B6F,,7F2231,111
879,4,0B70,,7F2231,112
880,4,0B71,,7F2231,113
881,4,0B72,,7F2231,114
882,4,0B73,,7F2231,115
883,4,0B74,,7F2231,116
884,4,0B75,,7F2231,117
885,4,0B76,,7F2231,118
886,4,0B77,,7F2231,119
887,4,0B78,,7F2231,120
888,4,0B79,,7F2231,121
889,4,0B7A,,7F2231,122
890,4,0B7B,,7F2231,123
891,4,0B7C,,7F2231,124
892,4,0B7D,,7F2231,125
893,4,0B7E,,7F2231,126
894,4,0B7F,,7F2231,127
895,4,0B80,,7F2231,128
896,4,0B81,,7F2231,129
897,4,0B82,,7F2231,130
898,4,0B83,,7F2231,131
899,4,0B84,,7F2231,132
900,4,0B85,,7F2231,133
901,4,0B86,,7F2231,134
902,4,0B87,,7F2231,135
903,4,0B88,,7F2231,136
904,4,0B89,,7F2231,137
905,4,0B8A,,7F2231,138
906,4,0B8B,,7F2231,139
907,4,0B8C,,7F2231,140
908,4,0B8D,,7F2231,141
909,4,0B8E,,7F2231,142
910,4,0B8F,,7F2231,143
911,4,0B90,,7F2231,144
912,4,0B91,,7F2231,145
913,4,0B92,,7F2231,146
914,4,0B93,,7F2231,147
915,4,0B94,,7F2231,148
916,4,0B95,,7F2231,149
917,4,0B96,,7F2231,150
918,4,0B97,,7F2231,151
919,4,0B98,,7F2231,152
920,4,0B99,,7F2231,153
921,4,0B9A,,7F2231,154
922,4,0B9B,,7F2231,155
923,4,0B9C,,7F2231,156
924,4,0B9D,,7F2231,157
925,4,0B9E,,7F2231,158
926,4,0B9F,,7F2231,159
927,4,0BA0,,7F2231,160
928,4,0BA1,,7F2231,161
929,4,0BA2,,7F2231,162
930,4,0BA3,,7F2231,163
931,4,0BA4,,7F2231,164
932,4,0BA5,,7F2231,165
933,4,0BA6,,7F2231,166
934,4,0BA7,,7F2231,167
935,4,0BA8,,7F2231,168
936,4,0BA9,,7F2231,169
937,4,0BAA,,7F2231,170
938,4,0BAB,,7F2231,171
939,4,0BAC,,7F2231,172
940,4,0BAD,,7F2231,173
941,4,0BAE,,7F2231,174
942,4,0BAF,,7F2231,175
943,4,0BB0,,7F2231,176
944,4,0BB1,,7F2231,177
945,4,0BB2,,7F2231,178
946,4,0BB3,,7F2231,179
947,4,0BB4,,7F2231,180
948,4,0BB5,,7F2231,181
949,4,0BB6,,7F2231,182
950,4,0BB7,,7F2231,183
951,4,0BB8,,7F2231,184
952,4,0BB9,,7F2231,185
953,4,0BBA,,7F2231,186
954,4,0BBB,,7F2231,187
955,4,0BBC,,7F2231,188
956,4,0BBD,,7F2231,189
957,4,0BBE,,7F2231,190
958,4,0BBF,,7F2231,191
959,4,0BC0,,7F2231,192
960,4,0BC1,,7F2231,193
961,4,0BC2,,7F2231,194
962,4,0BC3,,7F2231,195
963,4,0BC4,,7F2231,196
964,4,0BC5,,7F2231,197
965,4,0BC6,,7F2231,198
966,4,0BC7,,7F2231,199
967,4,0BC8,,7F2231,200
968,4,0BC9,,7F2231,201
969,4,0BCA,,7F2231,202
970,4,0BCB,,7F2231,203
971,4,0BCC,,7F2231,204
972,4,0BCD,,7F2231,205
973,4,0BCE,,7F2231,206
974,4,0BCF,,7F2231,207
975,4,0BD0,,7F2231,208
976,4,0BD1,,7F2231,209
977,4,0BD2,,7F2231,210
978,4,0BD3,,7F2231,211
979,4,0BD4,,7F2231,212
980,4,0BD5,,7F2231,213
981,4,0BD6,,7F2231,214
982,4,0BD7,,7F2231,215
983,4,0BD8,,7F2231,216
984,4,0BD9,,7F2231,217
985,4,0BDA,,7F2231,218
986,4,0BDB,,7F2231,219
987,4,0BDC,,7F2231,220
988,4,0BDD,,7F2231,221
989,4,0BDE,,7F2231,222
990,4,0BDF,,7F2231,223
991,4,0BE0,,7F2231,224
992,4,0BE1,,7F2231,225
993,4,0BE2,,7F2231,226
994,4,0BE3,,7F2231,227
995,4,0BE4,,7F2231,228
996,4,0BE5,,7F2231,229
997,4,0BE6,,7F2231,230
998,4,0BE7,,7F2231,231
999,4,0BE8,,7F2231,232
1000,4,0BE9,,7F2231,233
1001,4,0BEA,,7F2231,234
1002,4,0BEB,,7F2231,235
1003,4,0BEC,,7F2231,236
1004,4,0BED,,7F2231,237
1005,4,0BEE,,7F2231,238
1006,4,0BEF,,7F2231,239
1007,4,0BF0,,7F2231,240
1008,4,0BF1,,7F2231,241
1009,4,0BF2,,7F2231,242
1010,4,0BF3,,7F2231,243
1011,4,0BF4,,7F2231,244
1012,4,0BF5,,7F2231,245
1013,4,0BF6,,7F2231,246
1014,4,0BF7,,7F2231,247
1015,4,0BF8,,7F2231,248
1016,4,0BF9,,7F2231,249
1017,4,0BFA,,7F2231,250
1018,4,0BFB,,7F2231,251
1019,4,0BFC,,7F2231,252
1020,4,0BFD,,7F2231,253
1021,4,0BFE,,7F2231,254
1022,4,0BFF,,7F2231,255
