id,session_id,timestamp,ecu_tx,did,raw_hex,error_code,cycle
854,6,2026-05-26 05:08:58+00,740,0008,6200080000,,1
855,6,2026-05-26 05:08:58+00,740,0009,62000903D5,,1
856,6,2026-05-26 05:08:58+00,740,0014,6200144671,,1
857,6,2026-05-26 05:08:57+00,740,0023,620023C64F,,1
858,6,2026-05-26 05:08:57+00,791,0026,62002600007223,,1
859,6,2026-05-26 05:08:57+00,791,0038,6200380322,,1
860,6,2026-05-26 05:08:57+00,791,0039,6200390645,,1
861,6,2026-05-26 05:09:00+00,740,0008,6200080000,,2
862,6,2026-05-26 05:09:00+00,740,0009,62000903D6,,2
863,6,2026-05-26 05:09:00+00,740,0014,6200144671,,2
864,6,2026-05-26 05:08:59+00,740,0023,620023C64F,,2
865,6,2026-05-26 05:09:00+00,791,0026,62002600007223,,2
866,6,2026-05-26 05:08:59+00,791,0038,6200380323,,2
867,6,2026-05-26 05:08:59+00,791,0039,6200390645,,2
868,6,2026-05-26 05:09:02+00,740,0008,6200080000,,3
869,6,2026-05-26 05:09:02+00,740,0009,62000903D6,,3
870,6,2026-05-26 05:09:03+00,740,0014,6200144671,,3
871,6,2026-05-26 05:09:01+00,740,0023,620023C64F,,3
872,6,2026-05-26 05:09:02+00,791,0026,62002600007223,,3
873,6,2026-05-26 05:09:01+00,791,0038,6200380323,,3
874,6,2026-05-26 05:09:01+00,791,0039,6200390645,,3
875,6,2026-05-26 05:09:04+00,740,0008,6200080000,,4
876,6,2026-05-26 05:09:04+00,740,0009,62000903D5,,4
877,6,2026-05-26 05:09:05+00,740,0014,6200144671,,4
878,6,2026-05-26 05:09:03+00,740,0023,620023C64F,,4
879,6,2026-05-26 05:09:04+00,791,0026,62002600007223,,4
880,6,2026-05-26 05:09:03+00,791,0038,6200380323,,4
881,6,2026-05-26 05:09:03+00,791,0039,6200390646,,4
882,6,2026-05-26 05:09:06+00,740,0008,6200080000,,5
883,6,2026-05-26 05:09:07+00,740,0009,62000903D5,,5
884,6,2026-05-26 05:09:07+00,740,0014,6200144671,,5
885,6,2026-05-26 05:09:05+00,740,0023,620023C64F,,5
886,6,2026-05-26 05:09:06+00,791,0026,62002600007223,,5
887,6,2026-05-26 05:09:05+00,791,0038,6200380322,,5
888,6,2026-05-26 05:09:06+00,791,0039,6200390646,,5
889,6,2026-05-26 05:09:09+00,740,0008,6200080023,,6
890,6,2026-05-26 05:09:09+00,740,0009,6200090415,,6
891,6,2026-05-26 05:09:09+00,740,0014,6200144671,,6
892,6,2026-05-26 05:09:07+00,740,0023,620023C64F,,6
893,6,2026-05-26 05:09:08+00,791,0026,62002600007223,,6
894,6,2026-05-26 05:09:08+00,791,0038,6200380323,,6
895,6,2026-05-26 05:09:08+00,791,0039,6200390646,,6
896,6,2026-05-26 05:09:11+00,740,0008,6200080028,,7
897,6,2026-05-26 05:09:11+00,740,0009,620009040C,,7
898,6,2026-05-26 05:09:12+00,740,0014,6200144671,,7
899,6,2026-05-26 05:09:10+00,740,0023,620023C64F,,7
900,6,2026-05-26 05:09:11+00,791,0026,62002600007223,,7
901,6,2026-05-26 05:09:10+00,791,0038,6200380324,,7
902,6,2026-05-26 05:09:10+00,791,0039,6200390645,,7
903,6,2026-05-26 05:09:13+00,740,0008,6200080015,,8
904,6,2026-05-26 05:09:14+00,740,0009,62000903EC,,8
905,6,2026-05-26 05:09:14+00,740,0014,6200144671,,8
906,6,2026-05-26 05:09:12+00,740,0023,620023C64F,,8
907,6,2026-05-26 05:09:13+00,791,0026,62002600007223,,8
908,6,2026-05-26 05:09:12+00,791,0038,6200380322,,8
909,6,2026-05-26 05:09:13+00,791,0039,6200390645,,8
910,6,2026-05-26 05:09:16+00,740,0008,620008001A,,9
911,6,2026-05-26 05:09:16+00,740,0009,62000903B8,,9
912,6,2026-05-26 05:09:16+00,740,0014,6200144671,,9
913,6,2026-05-26 05:09:14+00,740,0023,620023C64F,,9
914,6,2026-05-26 05:09:15+00,791,0026,62002600007223,,9
915,6,2026-05-26 05:09:15+00,791,0038,6200380323,,9
916,6,2026-05-26 05:09:15+00,791,0039,6200390646,,9
917,6,2026-05-26 05:09:18+00,740,0008,6200080000,,10
918,6,2026-05-26 05:09:18+00,740,0009,62000903B3,,10
919,6,2026-05-26 05:09:19+00,740,0014,6200144671,,10
920,6,2026-05-26 05:09:17+00,740,0023,620023C64F,,10
921,6,2026-05-26 05:09:18+00,791,0026,62002600007223,,10
922,6,2026-05-26 05:09:17+00,791,0038,6200380324,,10
923,6,2026-05-26 05:09:17+00,791,0039,6200390646,,10
924,6,2026-05-26 05:09:20+00,740,0008,6200080000,,11
925,6,2026-05-26 05:09:20+00,740,0009,62000903B8,,11
926,6,2026-05-26 05:09:21+00,740,0014,6200144671,,11
927,6,2026-05-26 05:09:19+00,740,0023,620023C64F,,11
928,6,2026-05-26 05:09:20+00,791,0026,62002600007223,,11
929,6,2026-05-26 05:09:19+00,791,0038,6200380323,,11
930,6,2026-05-26 05:09:19+00,791,0039,6200390647,,11
931,6,2026-05-26 05:09:23+00,740,0008,6200080000,,12
932,6,2026-05-26 05:09:23+00,740,0009,62000903B2,,12
933,6,2026-05-26 05:09:23+00,740,0014,6200144671,,12
934,6,2026-05-26 05:09:21+00,740,0023,620023C64F,,12
935,6,2026-05-26 05:09:22+00,791,0026,62002600007223,,12
936,6,2026-05-26 05:09:21+00,791,0038,6200380323,,12
937,6,2026-05-26 05:09:22+00,791,0039,6200390646,,12
938,6,2026-05-26 05:09:25+00,740,0008,620008002E,,13
939,6,2026-05-26 05:09:25+00,740,0009,62000903BD,,13
940,6,2026-05-26 05:09:26+00,740,0014,6200144671,,13
941,6,2026-05-26 05:09:24+00,740,0023,620023C64F,,13
942,6,2026-05-26 05:09:25+00,791,0026,62002600007223,,13
943,6,2026-05-26 05:09:24+00,791,0038,6200380323,,13
944,6,2026-05-26 05:09:24+00,791,0039,6200390646,,13
945,6,2026-05-26 05:09:27+00,740,0008,6200080035,,14
946,6,2026-05-26 05:09:27+00,740,0009,62000903D7,,14
947,6,2026-05-26 05:09:28+00,740,0014,6200144671,,14
948,6,2026-05-26 05:09:26+00,740,0023,620023C64F,,14
949,6,2026-05-26 05:09:27+00,791,0026,62002600007223,,14
950,6,2026-05-26 05:09:26+00,791,0038,6200380323,,14
951,6,2026-05-26 05:09:26+00,791,0039,6200390646,,14
952,6,2026-05-26 05:09:29+00,740,0008,6200080000,,15
953,6,2026-05-26 05:09:30+00,740,0009,62000903D6,,15
954,6,2026-05-26 05:09:30+00,740,0014,6200144671,,15
955,6,2026-05-26 05:09:28+00,740,0023,620023C64F,,15
956,6,2026-05-26 05:09:29+00,791,0026,62002600007223,,15
957,6,2026-05-26 05:09:28+00,791,0038,6200380323,,15
958,6,2026-05-26 05:09:29+00,791,0039,6200390646,,15
959,6,2026-05-26 05:09:31+00,740,0008,6200080000,,16
960,6,2026-05-26 05:09:32+00,740,0009,62000903D6,,16
961,6,2026-05-26 05:09:32+00,740,0014,6200144671,,16
962,6,2026-05-26 05:09:30+00,740,0023,620023C64F,,16
963,6,2026-05-26 05:09:31+00,791,0026,62002600007223,,16
964,6,2026-05-26 05:09:30+00,791,0038,6200380323,,16
965,6,2026-05-26 05:09:31+00,791,0039,6200390645,,16
966,6,2026-05-26 05:09:33+00,740,0008,6200080000,,17
967,6,2026-05-26 05:09:34+00,740,0009,62000903D6,,17
968,6,2026-05-26 05:09:34+00,740,0014,6200144671,,17
969,6,2026-05-26 05:09:32+00,740,0023,620023C64F,,17
970,6,2026-05-26 05:09:33+00,791,0026,62002600007223,,17
971,6,2026-05-26 05:09:33+00,791,0038,6200380322,,17
972,6,2026-05-26 05:09:33+00,791,0039,6200390646,,17
973,6,2026-05-26 05:09:36+00,740,0008,6200080000,,18
974,6,2026-05-26 05:09:36+00,740,0009,62000903D6,,18
975,6,2026-05-26 05:09:36+00,740,0014,6200144671,,18
976,6,2026-05-26 05:09:34+00,740,0023,620023C64F,,18
977,6,2026-05-26 05:09:35+00,791,0026,62002600007223,,18
978,6,2026-05-26 05:09:35+00,791,0038,6200380323,,18
979,6,2026-05-26 05:09:35+00,791,0039,6200390645,,18
980,6,2026-05-26 05:09:38+00,740,0008,6200080000,,19
981,6,2026-05-26 05:09:38+00,740,0009,62000903D6,,19
982,6,2026-05-26 05:09:38+00,740,0014,6200144671,,19
983,6,2026-05-26 05:09:37+00,740,0023,620023C64F,,19
984,6,2026-05-26 05:09:38+00,791,0026,62002600007223,,19
985,6,2026-05-26 05:09:37+00,791,0038,6200380323,,19
986,6,2026-05-26 05:09:37+00,791,0039,6200390645,,19
987,6,2026-05-26 05:09:40+00,740,0008,6200080000,,20
988,6,2026-05-26 05:09:40+00,740,0009,62000903D6,,20
989,6,2026-05-26 05:09:41+00,740,0014,6200144671,,20
990,6,2026-05-26 05:09:39+00,740,0023,620023C64F,,20
991,6,2026-05-26 05:09:40+00,791,0026,62002600007223,,20
992,6,2026-05-26 05:09:39+00,791,0038,6200380322,,20
993,6,2026-05-26 05:09:39+00,791,0039,6200390645,,20
994,6,2026-05-26 05:09:42+00,740,0008,6200080000,,21
995,6,2026-05-26 05:09:42+00,740,0009,62000903D5,,21
996,6,2026-05-26 05:09:43+00,740,0014,6200144671,,21
997,6,2026-05-26 05:09:41+00,740,0023,620023C64F,,21
998,6,2026-05-26 05:09:42+00,791,0026,62002600007223,,21
999,6,2026-05-26 05:09:41+00,791,0038,6200380322,,21
1000,6,2026-05-26 05:09:41+00,791,0039,6200390646,,21
1001,6,2026-05-26 05:09:44+00,740,0008,6200080000,,22
1002,6,2026-05-26 05:09:44+00,740,0009,62000903D6,,22
1003,6,2026-05-26 05:09:45+00,740,0014,6200144671,,22
1004,6,2026-05-26 05:09:43+00,740,0023,620023C64F,,22
1005,6,2026-05-26 05:09:44+00,791,0026,62002600007223,,22
1006,6,2026-05-26 05:09:43+00,791,0038,6200380322,,22
1007,6,2026-05-26 05:09:43+00,791,0039,6200390645,,22
1008,6,2026-05-26 05:09:46+00,740,0008,6200080000,,23
1009,6,2026-05-26 05:09:46+00,740,0009,62000903D5,,23
1010,6,2026-05-26 05:09:47+00,740,0014,6200144671,,23
1011,6,2026-05-26 05:09:45+00,740,0023,620023C64F,,23
1012,6,2026-05-26 05:09:46+00,791,0026,62002600007223,,23
1013,6,2026-05-26 05:09:45+00,791,0038,6200380322,,23
1014,6,2026-05-26 05:09:45+00,791,0039,6200390645,,23
1015,6,2026-05-26 05:09:48+00,740,0008,6200080000,,24
1016,6,2026-05-26 05:09:48+00,740,0009,62000903D5,,24
1017,6,2026-05-26 05:09:49+00,740,0014,6200144671,,24
1018,6,2026-05-26 05:09:47+00,740,0023,620023C64F,,24
1019,6,2026-05-26 05:09:48+00,791,0026,62002600007223,,24
1020,6,2026-05-26 05:09:47+00,791,0038,6200380322,,24
1021,6,2026-05-26 05:09:48+00,791,0039,6200390646,,24
1022,6,2026-05-26 05:09:50+00,740,0008,6200080000,,25
1023,6,2026-05-26 05:09:51+00,740,0009,62000903D6,,25
1024,6,2026-05-26 05:09:51+00,740,0014,6200144671,,25
1025,6,2026-05-26 05:09:49+00,740,0023,620023C64F,,25
1026,6,2026-05-26 05:09:50+00,791,0026,62002600007223,,25
1027,6,2026-05-26 05:09:49+00,791,0038,6200380322,,25
1028,6,2026-05-26 05:09:50+00,791,0039,6200390646,,25
1029,6,2026-05-26 05:09:52+00,740,0008,6200080000,,26
