id,session_id,timestamp,ecu_tx,did,raw_hex,error_code,cycle
7343,9,2026-05-26 16:35:11+00,740,0008,6200080000,,1
7344,9,2026-05-26 16:35:11+00,790,0015,6200153F32,,1
7345,9,2026-05-26 16:35:11+00,791,0026,6200260000746B,,1
7346,9,2026-05-26 16:35:12+00,790,002B,62002B0CCB,,1
7347,9,2026-05-26 16:35:12+00,790,002D,62002D0CD0,,1
7348,9,2026-05-26 16:35:11+00,791,0038,6200380328,,1
7349,9,2026-05-26 16:35:13+00,740,0008,6200080000,,2
7350,9,2026-05-26 16:35:13+00,790,0015,6200153F32,,2
7351,9,2026-05-26 16:35:12+00,791,0026,6200260000746B,,2
7352,9,2026-05-26 16:35:13+00,790,002B,62002B0CCC,,2
7353,9,2026-05-26 16:35:13+00,790,002D,62002D0CD0,,2
7354,9,2026-05-26 16:35:12+00,791,0038,6200380328,,2
7355,9,2026-05-26 16:35:14+00,740,0008,6200080000,,3
7356,9,2026-05-26 16:35:14+00,790,0015,6200153F32,,3
7357,9,2026-05-26 16:35:14+00,791,0026,6200260000746B,,3
7358,9,2026-05-26 16:35:15+00,790,002B,62002B0CCC,,3
7359,9,2026-05-26 16:35:15+00,790,002D,62002D0CD0,,3
7360,9,2026-05-26 16:35:14+00,791,0038,6200380326,,3
7361,9,2026-05-26 16:35:16+00,740,0008,6200080000,,4
7362,9,2026-05-26 16:35:16+00,790,0015,6200153F32,,4
7363,9,2026-05-26 16:35:15+00,791,0026,6200260000746B,,4
7364,9,2026-05-26 16:35:16+00,790,002B,62002B0CCB,,4
7365,9,2026-05-26 16:35:17+00,790,002D,62002D0CD0,,4
7366,9,2026-05-26 16:35:16+00,791,0038,6200380328,,4
7367,9,2026-05-26 16:35:18+00,740,0008,6200080000,,5
7368,9,2026-05-26 16:35:17+00,790,0015,6200153F32,,5
7369,9,2026-05-26 16:35:17+00,791,0026,6200260000746B,,5
7370,9,2026-05-26 16:35:18+00,790,002B,62002B0CCC,,5
7371,9,2026-05-26 16:35:18+00,790,002D,62002D0CD0,,5
7372,9,2026-05-26 16:35:17+00,791,0038,6200380326,,5
7373,9,2026-05-26 16:35:19+00,740,0008,6200080000,,6
7374,9,2026-05-26 16:35:19+00,790,0015,6200153F32,,6
7375,9,2026-05-26 16:35:18+00,791,0026,6200260000746B,,6
7376,9,2026-05-26 16:35:19+00,790,002B,62002B0CCC,,6
7377,9,2026-05-26 16:35:20+00,790,002D,62002D0CD0,,6
7378,9,2026-05-26 16:35:19+00,791,0038,6200380326,,6
7379,9,2026-05-26 16:35:21+00,740,0008,6200080000,,7
7380,9,2026-05-26 16:35:20+00,790,0015,6200153F32,,7
7381,9,2026-05-26 16:35:20+00,791,0026,6200260000746B,,7
7382,9,2026-05-26 16:35:21+00,790,002B,62002B0CCC,,7
7383,9,2026-05-26 16:35:21+00,790,002D,62002D0CD0,,7
7384,9,2026-05-26 16:35:20+00,791,0038,6200380328,,7
7385,9,2026-05-26 16:35:22+00,740,0008,6200080000,,8
7386,9,2026-05-26 16:35:22+00,790,0015,6200153F38,,8
7387,9,2026-05-26 16:35:21+00,791,0026,6200260000746B,,8
7388,9,2026-05-26 16:35:22+00,790,002B,62002B0CCC,,8
7389,9,2026-05-26 16:35:23+00,790,002D,62002D0CD0,,8
7390,9,2026-05-26 16:35:22+00,791,0038,6200380326,,8
7391,9,2026-05-26 16:35:24+00,740,0008,6200080000,,9
7392,9,2026-05-26 16:35:23+00,790,0015,6200153F38,,9
7393,9,2026-05-26 16:35:23+00,791,0026,6200260000746B,,9
7394,9,2026-05-26 16:35:24+00,790,002B,62002B0CCC,,9
7395,9,2026-05-26 16:35:24+00,790,002D,62002D0CD0,,9
7396,9,2026-05-26 16:35:23+00,791,0038,6200380328,,9
