id,sweep_run_id,did,raw_hex,error_code,sequence
1571,8,0001,,EMPTY,0
1572,8,0002,,EMPTY,1
1573,8,0003,,EMPTY,2
1574,8,0004,,EMPTY,3
1575,8,0005,,EMPTY,4
1576,8,0006,,EMPTY,5
1577,8,0007,,EMPTY,6
1578,8,0008,,EMPTY,7
1579,8,0009,,EMPTY,8
1580,8,000A,,EMPTY,9
1581,8,000B,,EMPTY,10
1582,8,000C,,EMPTY,11
1583,8,000D,,EMPTY,12
1584,8,000E,,EMPTY,13
1585,8,000F,,EMPTY,14
1586,8,0010,,EMPTY,15
1587,8,0011,,EMPTY,16
1588,8,0012,,EMPTY,17
1589,8,0013,,EMPTY,18
1590,8,0014,,EMPTY,19
1591,8,0015,,EMPTY,20
1592,8,0016,,EMPTY,21
1593,8,0017,,EMPTY,22
1594,8,0018,,EMPTY,23
1595,8,0019,,EMPTY,24
1596,8,001A,,EMPTY,25
1597,8,001B,,EMPTY,26
1598,8,001C,,EMPTY,27
1599,8,001D,,EMPTY,28
1600,8,001E,,EMPTY,29
1601,8,001F,,EMPTY,30
1602,8,0020,,EMPTY,31
1603,8,0021,,EMPTY,32
1604,8,0022,,EMPTY,33
1605,8,0023,,EMPTY,34
1606,8,0024,,EMPTY,35
1607,8,0025,,EMPTY,36
1608,8,0026,,EMPTY,37
1609,8,0027,,EMPTY,38
1610,8,0028,,EMPTY,39
1611,8,0029,,EMPTY,40
1612,8,002A,,EMPTY,41
1613,8,002B,,EMPTY,42
1614,8,002C,,EMPTY,43
1615,8,002D,,EMPTY,44
1616,8,002E,,EMPTY,45
1617,8,002F,,EMPTY,46
1618,8,0030,,EMPTY,47
1619,8,0031,,EMPTY,48
1620,8,0032,,EMPTY,49
1621,8,0033,,EMPTY,50
1622,8,0034,,EMPTY,51
1623,8,0035,,EMPTY,52
