id,sweep_run_id,did,raw_hex,error_code,sequence
1930,12,0001,,EMPTY,0
1931,12,0002,,EMPTY,1
1932,12,0003,,EMPTY,2
1933,12,0004,,EMPTY,3
1934,12,0005,,EMPTY,4
1935,12,0006,,EMPTY,5
1936,12,0007,,EMPTY,6
1937,12,0008,,EMPTY,7
1938,12,0009,,EMPTY,8
1939,12,000A,,EMPTY,9
1940,12,000B,,EMPTY,10
1941,12,000C,,EMPTY,11
1942,12,000D,,EMPTY,12
1943,12,000E,,EMPTY,13
1944,12,000F,,EMPTY,14
1945,12,0010,,EMPTY,15
1946,12,0011,,EMPTY,16
1947,12,0012,,EMPTY,17
1948,12,0013,,EMPTY,18
1949,12,0014,,EMPTY,19
1950,12,0015,,EMPTY,20
1951,12,0016,,EMPTY,21
1952,12,0017,,EMPTY,22
1953,12,0018,,EMPTY,23
1954,12,0019,,EMPTY,24
1955,12,001A,,EMPTY,25
1956,12,001B,,EMPTY,26
