id,session_id,timestamp,ecu_tx,did,raw_hex,error_code,cycle
11866,11,2026-05-29 16:14:06+00,740,0008,6200080000,,1
11867,11,2026-05-29 16:14:05+00,790,0015,6200154367,,1
11868,11,2026-05-29 16:14:06+00,791,0026,6200260000764E,,1
11869,11,2026-05-29 16:14:06+00,791,0038,6200380323,,1
11870,11,2026-05-29 16:14:01+00,790,0608,6206080000,,1
11871,11,2026-05-29 16:14:02+00,790,060B,62060B0000,,1
11872,11,2026-05-29 16:14:02+00,790,060F,62060F0000,,1
11873,11,2026-05-29 16:14:03+00,790,0700,6207000000,,1
11874,11,2026-05-29 16:14:04+00,790,0708,6207080000,,1
11875,11,2026-05-29 16:14:04+00,790,070F,62070F0000,,1
11876,11,2026-05-29 16:14:11+00,740,0008,6200080000,,2
11877,11,2026-05-29 16:14:10+00,790,0015,6200154367,,2
11878,11,2026-05-29 16:14:11+00,791,0026,6200260000764E,,2
11879,11,2026-05-29 16:14:11+00,791,0038,6200380325,,2
11880,11,2026-05-29 16:14:06+00,790,0608,6206080000,,2
11881,11,2026-05-29 16:14:07+00,790,060B,62060B0000,,2
11882,11,2026-05-29 16:14:07+00,790,060F,62060F0000,,2
11883,11,2026-05-29 16:14:08+00,790,0700,6207000000,,2
11884,11,2026-05-29 16:14:09+00,790,0708,6207080000,,2
11885,11,2026-05-29 16:14:09+00,790,070F,62070F0000,,2
11886,11,2026-05-29 16:14:16+00,740,0008,6200080000,,3
11887,11,2026-05-29 16:14:15+00,790,0015,6200154232,,3
11888,11,2026-05-29 16:14:15+00,791,0026,6200260000764E,,3
11889,11,2026-05-29 16:14:16+00,791,0038,6200380325,,3
11890,11,2026-05-29 16:14:11+00,790,0608,6206080000,,3
11891,11,2026-05-29 16:14:12+00,790,060B,62060B0000,,3
11892,11,2026-05-29 16:14:12+00,790,060F,62060F0000,,3
11893,11,2026-05-29 16:14:13+00,790,0700,6207000000,,3
11894,11,2026-05-29 16:14:14+00,790,0708,6207080000,,3
11895,11,2026-05-29 16:14:14+00,790,070F,62070F0000,,3
11896,11,2026-05-29 16:14:21+00,740,0008,6200080000,,4
11897,11,2026-05-29 16:14:20+00,790,0015,6200154232,,4
11898,11,2026-05-29 16:14:20+00,791,0026,6200260000764E,,4
11899,11,2026-05-29 16:14:21+00,791,0038,6200380324,,4
11900,11,2026-05-29 16:14:16+00,790,0608,6206080000,,4
11901,11,2026-05-29 16:14:17+00,790,060B,62060B0000,,4
11902,11,2026-05-29 16:14:17+00,790,060F,62060F0000,,4
11903,11,2026-05-29 16:14:18+00,790,0700,6207000000,,4
11904,11,2026-05-29 16:14:18+00,790,0708,6207080000,,4
11905,11,2026-05-29 16:14:19+00,790,070F,62070F0000,,4
11906,11,2026-05-29 16:14:26+00,740,0008,6200080000,,5
11907,11,2026-05-29 16:14:25+00,790,0015,62001542B0,,5
11908,11,2026-05-29 16:14:25+00,791,0026,6200260000764E,,5
11909,11,2026-05-29 16:14:26+00,791,0038,6200380325,,5
11910,11,2026-05-29 16:14:21+00,790,0608,6206080000,,5
11911,11,2026-05-29 16:14:21+00,790,060B,62060B0000,,5
11912,11,2026-05-29 16:14:22+00,790,060F,62060F0000,,5
11913,11,2026-05-29 16:14:22+00,790,0700,6207000000,,5
11914,11,2026-05-29 16:14:23+00,790,0708,6207080000,,5
11915,11,2026-05-29 16:14:24+00,790,070F,62070F0000,,5
11916,11,2026-05-29 16:14:31+00,740,0008,6200080024,,6
11917,11,2026-05-29 16:14:30+00,790,0015,62001542B0,,6
11918,11,2026-05-29 16:14:31+00,791,0026,6200260000764E,,6
11919,11,2026-05-29 16:14:31+00,791,0038,6200380324,,6
11920,11,2026-05-29 16:14:26+00,790,0608,6206080000,,6
11921,11,2026-05-29 16:14:27+00,790,060B,62060B0000,,6
11922,11,2026-05-29 16:14:27+00,790,060F,62060F0000,,6
11923,11,2026-05-29 16:14:28+00,790,0700,6207000000,,6
11924,11,2026-05-29 16:14:29+00,790,0708,6207080000,,6
11925,11,2026-05-29 16:14:29+00,790,070F,62070F0000,,6
11926,11,2026-05-29 16:14:36+00,740,0008,6200080000,,7
11927,11,2026-05-29 16:14:36+00,790,0015,6200154317,,7
11928,11,2026-05-29 16:14:36+00,791,0026,6200260000764E,,7
11929,11,2026-05-29 16:14:36+00,791,0038,6200380324,,7
11930,11,2026-05-29 16:14:31+00,790,0608,6206080000,,7
11931,11,2026-05-29 16:14:32+00,790,060B,62060B0000,,7
11932,11,2026-05-29 16:14:32+00,790,060F,62060F0000,,7
11933,11,2026-05-29 16:14:33+00,790,0700,6207000000,,7
11934,11,2026-05-29 16:14:34+00,790,0708,6207080000,,7
11935,11,2026-05-29 16:14:35+00,790,070F,62070F0000,,7
11936,11,2026-05-29 16:14:41+00,740,0008,620008012C,,8
11937,11,2026-05-29 16:14:41+00,790,0015,6200154317,,8
11938,11,2026-05-29 16:14:41+00,791,0026,6200260000764E,,8
11939,11,2026-05-29 16:14:41+00,791,0038,6200380800,,8
11940,11,2026-05-29 16:14:37+00,790,0608,6206080000,,8
11941,11,2026-05-29 16:14:37+00,790,060B,62060B0000,,8
11942,11,2026-05-29 16:14:37+00,790,060F,62060F0000,,8
11943,11,2026-05-29 16:14:38+00,790,0700,6207000000,,8
11944,11,2026-05-29 16:14:39+00,790,0708,6207080000,,8
11945,11,2026-05-29 16:14:40+00,790,070F,62070F0000,,8
11946,11,2026-05-29 16:14:46+00,740,0008,6200080391,,9
11947,11,2026-05-29 16:14:46+00,790,0015,,SANITY:NA,9
11948,11,2026-05-29 16:14:46+00,791,0026,6200260000764E,,9
11949,11,2026-05-29 16:14:46+00,791,0038,6200380324,,9
11950,11,2026-05-29 16:14:42+00,790,0608,6206080000,,9
11951,11,2026-05-29 16:14:42+00,790,060B,62060B0000,,9
11952,11,2026-05-29 16:14:42+00,790,060F,62060F0000,,9
11953,11,2026-05-29 16:14:43+00,790,0700,6207000000,,9
11954,11,2026-05-29 16:14:44+00,790,0708,6207080000,,9
11955,11,2026-05-29 16:14:45+00,790,070F,62070F0000,,9
11956,11,2026-05-29 16:14:51+00,740,0008,6200080303,,10
11957,11,2026-05-29 16:14:51+00,790,0015,,SANITY:NA,10
11958,11,2026-05-29 16:14:51+00,791,0026,6200260000764F,,10
11959,11,2026-05-29 16:14:51+00,791,0038,6200380588,,10
11960,11,2026-05-29 16:14:47+00,790,0608,6206080000,,10
11961,11,2026-05-29 16:14:47+00,790,060B,62060B0000,,10
11962,11,2026-05-29 16:14:47+00,790,060F,62060F0000,,10
