id,monitor_session_id,sequence,ts_ms,raw,parsed
201,7,0,0,OK,f
202,7,1,0,OK,f
203,7,2,0,?,f
204,7,3,0,OK,f
205,7,4,0,CAN ERROR,f
206,7,5,0,STOPPED,f
207,7,6,0,OK,f
208,7,7,0,CAN ERROR,f
209,7,8,0,CAN ERROR,f
210,7,9,0,CAN ERROR,f
211,7,10,0,CAN ERROR,f
212,7,11,0,CAN ERROR,f
213,7,12,0,OK,f
214,7,13,0,OK,f
215,7,14,0,CAN ERROR,f
216,7,15,0,OK,f
217,7,16,1000,OK,f
218,7,17,1000,CAN ERROR,f
219,7,18,1000,CAN ERROR,f
220,7,19,1000,CAN ERROR,f
221,7,20,1000,OK,f
222,7,21,1000,OK,f
223,7,22,1000,CAN ERROR,f
224,7,23,1000,OK,f
225,7,24,1000,OK,f
226,7,25,1000,CAN ERROR,f
227,7,26,1000,CAN ERROR,f
228,7,27,1000,CAN ERROR,f
229,7,28,1000,OK,f
230,7,29,1000,OK,f
231,7,30,1000,CAN ERROR,f
232,7,31,1000,CAN ERROR,f
233,7,32,1000,OK,f
234,7,33,1000,OK,f
235,7,34,1000,CAN ERROR,f
236,7,35,1000,CAN ERROR,f
237,7,36,1000,CAN ERROR,f
238,7,37,1000,CAN ERROR,f
239,7,38,1000,CAN ERROR,f
