id,session_id,timestamp,ecu_tx,did,raw_hex,error_code,cycle
15952,15,2026-05-29 20:08:00+00,790,0010,62001000064D,,1
15953,15,2026-05-29 20:08:00+00,790,0011,62001102BE,,1
15954,15,2026-05-29 20:08:01+00,790,0012,62001202BD,,1
15955,15,2026-05-29 20:08:02+00,790,0013,620013013B,,1
15956,15,2026-05-29 20:08:03+00,790,0014,6200140189,,1
15957,15,2026-05-29 20:07:59+00,790,0015,620015430A,,1
15958,15,2026-05-29 20:08:04+00,790,0017,62001701,,1
15959,15,2026-05-29 20:08:05+00,790,0023,62002301,,1
15960,15,2026-05-29 20:08:05+00,790,0024,62002401,,1
15961,15,2026-05-29 20:07:59+00,790,1FFD,621FFD0F643B09,,1
15962,15,2026-05-29 20:08:06+00,790,0010,62001000064D,,2
15963,15,2026-05-29 20:08:07+00,790,0011,62001102BE,,2
15964,15,2026-05-29 20:08:08+00,790,0012,62001202BD,,2
15965,15,2026-05-29 20:08:09+00,790,0013,620013013B,,2
15966,15,2026-05-29 20:08:10+00,790,0014,6200140189,,2
15967,15,2026-05-29 20:08:06+00,790,0015,620015421D,,2
15968,15,2026-05-29 20:08:11+00,790,0017,62001701,,2
15969,15,2026-05-29 20:08:11+00,790,0023,62002301,,2
15970,15,2026-05-29 20:08:12+00,790,0024,62002401,,2
15971,15,2026-05-29 20:08:06+00,790,1FFD,621FFD0F643B09,,2
15972,15,2026-05-29 20:08:13+00,790,0010,62001000064D,,3
15973,15,2026-05-29 20:08:14+00,790,0011,62001102BE,,3
15974,15,2026-05-29 20:08:15+00,790,0012,62001202BD,,3
15975,15,2026-05-29 20:08:16+00,790,0013,620013013B,,3
15976,15,2026-05-29 20:08:17+00,790,0014,6200140189,,3
15977,15,2026-05-29 20:08:13+00,790,0015,62001541F0,,3
15978,15,2026-05-29 20:08:17+00,790,0017,62001701,,3
15979,15,2026-05-29 20:08:18+00,790,0023,62002301,,3
15980,15,2026-05-29 20:08:19+00,790,0024,62002401,,3
15981,15,2026-05-29 20:08:13+00,790,1FFD,621FFD0F643B09,,3
15982,15,2026-05-29 20:08:20+00,790,0010,62001000064D,,4
15983,15,2026-05-29 20:08:21+00,790,0011,62001102BE,,4
