id,session_id,timestamp,ecu_tx,did,raw_hex,error_code,cycle
32566,21,2026-05-31 15:52:16+00,740,0008,6200080000,,1
32567,21,2026-05-31 15:52:15+00,790,0009,620009139F,,1
32568,21,2026-05-31 15:52:16+00,782,000A,62000A3A98,,1
32569,21,2026-05-31 15:52:15+00,790,0010,62001000069E,,1
32570,21,2026-05-31 15:52:16+00,790,0015,62001542F1,,1
32571,21,2026-05-31 15:52:15+00,740,0022,6200224657,,1
32572,21,2026-05-31 15:52:16+00,740,0023,62002346CB,,1
32573,21,2026-05-31 15:52:14+00,791,0038,6200380328,,1
32574,21,2026-05-31 15:52:15+00,791,0039,6200390648,,1
32575,21,2026-05-31 15:52:16+00,790,1FFD,621FFD15723AD0,,1
32576,21,2026-05-31 15:52:19+00,740,0008,6200080000,,2
32577,21,2026-05-31 15:52:17+00,790,0009,620009139F,,2
32578,21,2026-05-31 15:52:18+00,782,000A,62000A3A97,,2
32579,21,2026-05-31 15:52:18+00,790,0010,62001000069E,,2
32580,21,2026-05-31 15:52:18+00,790,0015,62001542F1,,2
32581,21,2026-05-31 15:52:18+00,740,0022,6200224657,,2
32582,21,2026-05-31 15:52:18+00,740,0023,62002346CB,,2
32583,21,2026-05-31 15:52:17+00,791,0038,6200380329,,2
32584,21,2026-05-31 15:52:17+00,791,0039,6200390648,,2
32585,21,2026-05-31 15:52:19+00,790,1FFD,621FFD15723AD0,,2
32586,21,2026-05-31 15:52:21+00,740,0008,6200080000,,3
32587,21,2026-05-31 15:52:20+00,790,0009,620009139F,,3
32588,21,2026-05-31 15:52:21+00,782,000A,62000A3A97,,3
32589,21,2026-05-31 15:52:20+00,790,0010,62001000069E,,3
32590,21,2026-05-31 15:52:21+00,790,0015,62001542F1,,3
32591,21,2026-05-31 15:52:20+00,740,0022,6200224657,,3
32592,21,2026-05-31 15:52:21+00,740,0023,62002346CB,,3
32593,21,2026-05-31 15:52:19+00,791,0038,6200380329,,3
32594,21,2026-05-31 15:52:20+00,791,0039,6200390647,,3
32595,21,2026-05-31 15:52:21+00,790,1FFD,621FFD15723AD0,,3
32596,21,2026-05-31 15:52:24+00,740,0008,6200080000,,4
32597,21,2026-05-31 15:52:22+00,790,0009,620009139F,,4
32598,21,2026-05-31 15:52:23+00,782,000A,62000A3A97,,4
32599,21,2026-05-31 15:52:22+00,790,0010,62001000069E,,4
32600,21,2026-05-31 15:52:23+00,790,0015,62001542F1,,4
32601,21,2026-05-31 15:52:23+00,740,0022,6200224657,,4
32602,21,2026-05-31 15:52:23+00,740,0023,62002346CB,,4
32603,21,2026-05-31 15:52:22+00,791,0038,6200380328,,4
32604,21,2026-05-31 15:52:22+00,791,0039,6200390648,,4
32605,21,2026-05-31 15:52:24+00,790,1FFD,621FFD15723AD0,,4
32606,21,2026-05-31 15:52:26+00,740,0008,6200080000,,5
32607,21,2026-05-31 15:52:25+00,790,0009,620009139F,,5
32608,21,2026-05-31 15:52:26+00,782,000A,62000A3A98,,5
32609,21,2026-05-31 15:52:25+00,790,0010,62001000069E,,5
32610,21,2026-05-31 15:52:26+00,790,0015,62001542FD,,5
32611,21,2026-05-31 15:52:25+00,740,0022,6200224657,,5
32612,21,2026-05-31 15:52:26+00,740,0023,62002346CB,,5
